Country,Population,Density ,Land Area,Fertility rate,Median age,Urban Population %
Sweden,10099265,25,410340,1.9,41,0.88
Honduras,9904607,89,111890,2.5,24,0.57
United Arab Emirates,9890402,118,83600,1.4,33,0.86
Hungary,9660351,107,90530,1.5,43,0.72
Tajikistan,9537645,68,139960,3.6,22,0.27
Belarus,9449323,47,202910,1.7,40,0.79
Austria,9006398,109,82409,1.5,43,0.57
Papua New Guinea,8947024,20,452860,3.6,22,0.13
Serbia,8737371,100,87460,1.5,42,0.56
Israel,8655535,400,21640,3,30,0.93
Switzerland,8654622,219,39516,1.5,43,0.74
Togo,8278724,152,54390,4.4,19,0.43
Sierra Leone,7976983,111,72180,4.3,19,0.43
Hong Kong,7496981,7140,1050,1.3,45,NaN
Laos,7275560,32,230800,2.7,24,0.36
Paraguay,7132538,18,397300,2.4,26,0.62
Bulgaria,6948445,64,108560,1.6,45,0.76
Libya,6871292,4,1759540,2.3,29,0.78
Lebanon,6825445,667,10230,2.1,30,0.78
Nicaragua,6624554,55,120340,2.4,26,0.57
Kyrgyzstan,6524195,34,191800,3,26,0.36
El Salvador,6486205,313,20720,2.1,28,0.73
Turkmenistan,6031200,13,469930,2.8,27,0.53
Singapore,5850342,8358,700,1.2,42,NaN
Denmark,5792202,137,42430,1.8,42,0.88
Finland,5540720,18,303890,1.5,43,0.86
Congo,5518087,16,341500,4.5,19,0.7
Slovakia,5459642,114,48088,1.5,41,0.54
Norway,5421241,15,365268,1.7,40,0.83
Oman,5106626,16,309500,2.9,31,0.87
State of Palestine,5101414,847,6020,3.7,21,0.8
Costa Rica,5094118,100,51060,1.8,33,0.8
Liberia,5057681,53,96320,4.4,19,0.53
Ireland,4937786,72,68890,1.8,38,0.63
Central African Republic,4829767,8,622980,4.8,18,0.43
New Zealand,4822233,18,263310,1.9,38,0.87
Mauritania,4649658,5,1030700,4.6,20,0.57
Panama,4314767,58,74340,2.5,30,0.68
Kuwait,4270571,240,17820,2.1,37,NaN
Croatia,4105267,73,55960,1.4,44,0.58
Moldova,4033963,123,32850,1.3,38,0.43
Georgia,3989167,57,69490,2.1,38,0.58
Eritrea,3546421,35,101000,4.1,19,0.63
Uruguay,3473730,20,175020,2,36,0.96
Bosnia and Herzegovina,3280819,64,51000,1.3,43,0.52
Mongolia,3278290,2,1553560,2.9,28,0.67
Armenia,2963243,104,28470,1.8,35,0.63
Jamaica,2961167,273,10830,2,31,0.55
Qatar,2881053,248,11610,1.9,32,0.96
Albania,2877797,105,27400,1.6,36,0.63
Puerto Rico,2860853,323,8870,1.2,44,NaN
Lithuania,2722289,43,62674,1.7,45,0.71
Namibia,2540905,3,823290,3.4,22,0.55
Gambia,2416668,239,10120,5.3,18,0.59
Botswana,2351627,4,566730,2.9,24,0.73
Gabon,2225734,9,257670,4,23,0.87
Lesotho,2142249,71,30360,3.2,24,0.31
North Macedonia,2083374,83,25220,1.5,39,0.59
Slovenia,2078938,103,20140,1.6,45,0.55
Guinea-Bissau,1968001,70,28120,4.5,19,0.45
Latvia,1886198,30,62200,1.7,44,0.69
Bahrain,1701575,2239,760,2,32,0.89
Equatorial Guinea,1402985,50,28050,4.6,22,0.73
Trinidad and Tobago,1399488,273,5130,1.7,36,0.52
Estonia,1326535,31,42390,1.6,42,0.68
Timor-Leste,1318445,89,14870,4.1,21,0.33
Mauritius,1271768,626,2030,1.4,37,0.41
Cyprus,1207359,131,9240,1.3,37,0.67
Eswatini,1160164,67,17200,3,21,0.3
Djibouti,988000,43,23180,2.8,27,0.79
Fiji,896445,49,18270,2.8,28,0.59
Réunion,895312,358,2500,2.3,36,1
Comoros,869601,467,1861,4.2,20,0.29
Guyana,786552,4,196850,2.5,27,0.27
Bhutan,771608,20,38117,2,28,0.46
Solomon Islands,686884,25,27990,4.4,20,0.23
Macao,649335,21645,30,1.2,39,NaN
Montenegro,628066,47,13450,1.8,39,0.68
Luxembourg,625978,242,2590,1.5,40,0.88
Western Sahara,597339,2,266000,2.4,28,0.87
Suriname,586632,4,156000,2.4,29,0.65
Cabo Verde,555987,138,4030,2.3,28,0.68
Maldives,540544,1802,300,1.9,30,0.35
Malta,441543,1380,320,1.5,43,0.93
Brunei,437479,83,5270,1.8,32,0.8
Guadeloupe,400124,237,1690,2.2,44,NaN
Belize,397628,17,22810,2.3,25,0.46
Bahamas,393244,39,10010,1.8,32,0.86
Martinique,375265,354,1060,1.9,47,0.92
Iceland,341243,3,100250,1.8,37,0.94
Vanuatu,307145,25,12190,3.8,21,0.24
French Guiana,298682,4,82200,3.4,25,0.87
Barbados,287375,668,430,1.6,40,0.31
New Caledonia,285498,16,18280,2,34,0.72
French Polynesia,280908,77,3660,2,34,0.64
Mayotte,272815,728,375,3.7,20,0.46
Sao Tome & Principe,219159,228,960,4.4,19,0.74
Samoa,198414,70,2830,3.9,22,0.18
Saint Lucia,183627,301,610,1.4,34,0.19
Channel Islands,173863,915,190,1.5,43,0.3
Guam,168775,313,540,2.3,31,0.95
Curaçao,164093,370,444,1.8,42,0.89
Kiribati,119449,147,810,3.6,23,0.57
Micronesia,115023,164,700,3.1,24,0.21
Grenada,112523,331,340,2.1,32,0.35
St. Vincent & Grenadines,110940,284,390,1.9,33,0.53
Aruba,106766,593,180,1.9,41,0.44
Tonga,105695,147,720,3.6,22,0.24
U.S. Virgin Islands,104425,298,350,2,43,0.96
Seychelles,98347,214,460,2.5,34,0.56
Antigua and Barbuda,97929,223,440,2,34,0.26
Isle of Man,85033,149,570,NaN,NaN,0.53
Andorra,77265,164,470,NaN,NaN,0.88
Dominica,71986,96,750,NaN,NaN,0.74
Cayman Islands,65722,274,240,NaN,NaN,0.97
Bermuda,62278,1246,50,NaN,NaN,0.97
Marshall Islands,59190,329,180,NaN,NaN,0.7
Northern Mariana Islands,57559,125,460,NaN,NaN,0.88
Greenland,56770,0,410450,NaN,NaN,0.87
American Samoa,55191,276,200,NaN,NaN,0.88
Saint Kitts & Nevis,53199,205,260,NaN,NaN,0.33
Faeroe Islands,48863,35,1396,NaN,NaN,0.43
Sint Maarten,42876,1261,34,NaN,NaN,0.96
Monaco,39242,26337,1,NaN,NaN,NaN
Turks and Caicos,38717,41,950,NaN,NaN,0.89
Saint Martin,38666,730,53,NaN,NaN,0
Liechtenstein,38128,238,160,NaN,NaN,0.15
San Marino,33931,566,60,NaN,NaN,0.97
Gibraltar,33691,3369,10,NaN,NaN,NaN
British Virgin Islands,30231,202,150,NaN,NaN,0.52
Caribbean Netherlands,26223,80,328,NaN,NaN,0.75
Palau,18094,39,460,NaN,NaN,NaN
Cook Islands,17564,73,240,NaN,NaN,0.75
Anguilla,15003,167,90,NaN,NaN,NaN
Tuvalu,11792,393,30,NaN,NaN,0.62
Wallis & Futuna,11239,80,140,NaN,NaN,0
Nauru,10824,541,20,NaN,NaN,NaN
Saint Barthelemy,9877,470,21,NaN,NaN,0
Saint Helena,6077,16,390,NaN,NaN,0.27
Saint Pierre & Miquelon,5794,25,230,NaN,NaN,1
Montserrat,4992,50,100,NaN,NaN,0.1
Falkland Islands,3480,0,12170,NaN,NaN,0.66
Niue,1626,6,260,NaN,NaN,0.46
Tokelau,1357,136,10,NaN,NaN,0
Holy See,801,2003,0,NaN,NaN,NaN
